Length,Load factor
1,152.76602
2,83.23968139
3,37.30608703
4,21.23662144
5,13.80236623
6,9.765478056
7,7.331693223
8,5.751709211
9,4.667663158
10,3.891166674
11,3.315448047
12,2.876388897
13,2.533645877
14,2.260832411
15,2.040110783
20,1.386269573
30,0.948976028
40,0.855484773
50,0.875878272
60,0.949027209
70,1.050172978
80,1.159665927
90,1.248102921
100,1.274285269
200,0.786495805
300,0.939891376
400,1.247910208
500,1.557446945
600,1.569280154
700,1.417071524
800,1.299854975
900,1.241505097
1000,1.230785794
2000,1.109776335
3000,0.546355409
4000,0.3131673
5000,0.201081207
6000,0.139950674
7000,0.102936886
8000,0.078861738
9000,0.062336162
10000,0.050506309
