Displacement in m,Displacement in mm,Load in N,Load in kN
-0.000000,-0.000000,-0.000000,-0.000000
0.000554,0.554352,9970.409180,9.970409
0.001110,1.109516,19970.255859,19.970256
0.001665,1.664559,29973.257812,29.973258
0.002498,2.497538,44977.257812,44.977258
0.002811,2.810733,50602.199219,50.602199
0.003300,3.300336,59038.738281,59.038738
0.003430,3.430153,61146.328125,61.146328
0.003571,3.571110,63253.425781,63.253426
0.003608,3.608087,63779.265625,63.779266
0.003617,3.617459,63910.542969,63.910543
0.003620,3.619852,63943.242188,63.943242
0.003624,3.623513,63992.136719,63.992137
0.003632,3.632065,64049.941406,64.049941
0.003643,3.642692,64112.046875,64.112047
0.003652,3.651956,64192.777344,64.192777
0.003664,3.664250,64310.242188,64.310242
0.003682,3.682376,64478.171875,64.478172
0.003712,3.711630,64725.230469,64.725230
0.003762,3.761833,65093.519531,65.093520
0.003824,3.823697,65455.843750,65.455844
0.003841,3.840710,65542.531250,65.542531
0.003859,3.859306,65629.375000,65.629375
0.003880,3.879835,65714.375000,65.714375
0.003903,3.903446,65794.351562,65.794352
0.003910,3.909706,65811.398438,65.811398
0.003916,3.916362,65827.570312,65.827570
0.003927,3.927240,65851.718750,65.851719
0.003940,3.939758,65869.312500,65.869313
0.003943,3.943028,65871.953125,65.871953
0.003948,3.947588,65841.812500,65.841813
0.003950,3.949585,65822.554688,65.822555
0.003953,3.953489,65773.992188,65.773992
0.003955,3.955130,65750.265625,65.750266
0.003958,3.958229,65692.273438,65.692273
0.003960,3.959506,65665.742188,65.665742
0.003962,3.961747,65613.312500,65.613313
0.003967,3.966587,65464.929688,65.464930
0.003972,3.971825,65265.718750,65.265719
0.003980,3.980147,64904.464844,64.904465
0.003982,3.982424,64804.597656,64.804598
0.003985,3.984905,64696.468750,64.696469
0.003989,3.989069,64521.886719,64.521887
0.003996,3.996227,64246.308594,64.246309
0.004009,4.008790,63826.328125,63.826328
0.004019,4.019135,63514.914062,63.514914
0.004045,4.045340,62561.304688,62.561305
0.004053,4.053485,62225.394531,62.225395
0.004063,4.063247,61798.390625,61.798391
0.004074,4.074416,61313.824219,61.313824
0.004094,4.093514,60552.523438,60.552523
0.004126,4.125591,59478.398438,59.478398
0.004138,4.137998,59090.511719,59.090512
0.004157,4.157303,58548.324219,58.548324
0.004187,4.187442,57825.835938,57.825836
0.004235,4.234614,56918.960938,56.918961
0.004253,4.252514,56602.390625,56.602391
0.004280,4.279821,56173.769531,56.173770
0.004322,4.321701,55615.062500,55.615063
0.004337,4.337498,55416.597656,55.416598
0.004361,4.361434,55140.394531,55.140395
0.004398,4.397880,54765.593750,54.765594
0.004412,4.411588,54630.281250,54.630281
0.004432,4.432302,54437.003906,54.437004
0.004464,4.463729,54164.792969,54.164793
0.004476,4.475537,54065.191406,54.065191
0.004493,4.493355,53920.230469,53.920230
0.004520,4.520352,53710.386719,53.710387
0.004561,4.561498,53406.660156,53.406660
0.004577,4.576983,53294.183594,53.294184
0.004600,4.600419,53127.003906,53.127004
0.004636,4.636073,52876.605469,52.876605
0.004649,4.649484,52782.800781,52.782801
0.004670,4.669759,52641.632812,52.641633
0.004701,4.700541,52428.683594,52.428684
0.004712,4.712109,52348.851562,52.348852
0.004730,4.729571,52228.933594,52.228934
0.004756,4.756015,52048.777344,52.048777
0.004796,4.796285,51778.253906,51.778254
0.004811,4.811435,51677.042969,51.677043
0.004834,4.834331,51525.683594,51.525684
0.004869,4.869067,51300.492188,51.300492
0.004882,4.882117,51216.539062,51.216539
0.004902,4.901804,51091.523438,51.091523
0.004932,4.931584,50906.355469,50.906355
0.004943,4.942759,50837.417969,50.837418
0.004960,4.959593,50734.910156,50.734910
0.004985,4.984998,50583.261719,50.583262
0.005023,5.023485,50360.375000,50.360375
0.005038,5.037935,50277.625000,50.277625
0.005060,5.059711,50155.125000,50.155125
0.005093,5.092611,49974.878906,49.974879
0.005105,5.104952,49907.921875,49.907922
0.005124,5.123531,49808.621094,49.808621
0.005152,5.151545,49662.132812,49.662133
0.005162,5.162046,49607.660156,49.607660
0.005178,5.177838,49526.757812,49.526758
0.005202,5.201614,49407.191406,49.407191
0.005238,5.237513,49231.585938,49.231586
0.005251,5.250975,49166.398438,49.166398
0.005271,5.271234,49069.851562,49.069852
0.005302,5.301763,48927.765625,48.927766
0.005313,5.313204,48874.984375,48.874984
0.005330,5.330403,48796.703125,48.796703
0.005356,5.356287,48681.257812,48.681258
0.005366,5.365983,48638.335938,48.638336
0.005381,5.380542,48574.609375,48.574609
0.005402,5.402428,48480.417969,48.480418
0.005435,5.435397,48342.019531,48.342020
0.005448,5.447751,48290.632812,48.290633
0.005466,5.466319,48214.503906,48.214504
0.005494,5.494262,48102.437500,48.102438
0.005505,5.504728,48060.800781,48.060801
0.005520,5.520446,47999.046875,47.999047
0.005544,5.544070,47907.972656,47.907973
0.005553,5.552914,47874.109375,47.874109
0.005566,5.566191,47823.832031,47.823832
0.005586,5.586127,47749.562500,47.749563
0.005616,5.616110,47640.621094,47.640621
0.005627,5.627339,47600.199219,47.600199
0.005644,5.644202,47540.367188,47.540367
0.005670,5.669541,47452.394531,47.452395
0.005679,5.679027,47419.718750,47.419719
0.005693,5.693262,47371.285156,47.371285
0.005715,5.714648,47299.855469,47.299855
0.005723,5.722652,47273.300781,47.273301
0.005735,5.734658,47233.894531,47.233895
0.005753,5.752675,47175.679688,47.175680
0.005780,5.779741,47090.214844,47.090215
0.005790,5.789875,47058.492188,47.058492
0.005805,5.805078,47011.515625,47.011516
0.005828,5.827904,46942.359375,46.942359
0.005836,5.836447,46916.664062,46.916664
0.005849,5.849258,46878.558594,46.878559
0.005868,5.868480,46822.332031,46.822332
0.005876,5.875672,46801.421875,46.801422
0.005886,5.886454,46770.371094,46.770371
0.005903,5.902624,46724.453125,46.724453
0.005927,5.926896,46656.921875,46.656922
0.005936,5.935981,46631.835938,46.631836
0.005950,5.949603,46594.636719,46.594637
0.005970,5.970041,46539.699219,46.539699
0.005978,5.977687,46519.261719,46.519262
0.005989,5.989152,46488.882812,46.488883
0.006006,6.006345,46443.898438,46.443898
0.006013,6.012777,46427.144531,46.427145
0.006022,6.022421,46402.203125,46.402203
0.006037,6.036878,46365.195312,46.365195
0.006059,6.058569,46310.468750,46.310469
0.006067,6.066685,46290.093750,46.290094
0.006079,6.078857,46259.769531,46.259770
0.006097,6.097114,46214.750000,46.214750
0.006104,6.103944,46197.968750,46.197969
0.006114,6.114182,46172.949219,46.172949
0.006130,6.129532,46135.710938,46.135711
0.006153,6.152566,46080.417969,46.080418
0.006161,6.161184,46059.804688,46.059805
0.006174,6.174109,46029.058594,46.029059
0.006194,6.193509,45983.277344,45.983277
0.006201,6.200767,45966.191406,45.966191
0.006212,6.211646,45940.695312,45.940695
0.006228,6.227958,45902.691406,45.902691
0.006234,6.234059,45888.500000,45.888500
0.006243,6.243203,45867.308594,45.867309
0.006257,6.256911,45835.695312,45.835695
0.006277,6.277473,45788.597656,45.788598
0.006285,6.285166,45771.019531,45.771020
0.006297,6.296698,45744.765625,45.744766
0.006314,6.313991,45705.613281,45.705613
0.006320,6.320460,45690.988281,45.690988
0.006330,6.330156,45669.140625,45.669141
0.006345,6.344691,45636.535156,45.636535
0.006350,6.350128,45624.355469,45.624355
0.006358,6.358275,45606.152344,45.606152
0.006370,6.370483,45578.968750,45.578969
0.006389,6.388793,45538.417969,45.538418
0.006396,6.395642,45523.273438,45.523273
0.006406,6.405909,45500.640625,45.500641
0.006421,6.421302,45466.847656,45.466848
0.006427,6.427060,45454.226562,45.454227
0.006436,6.435688,45435.351562,45.435352
0.006449,6.448619,45407.156250,45.407156
0.006468,6.468012,45365.042969,45.365043
0.006468,6.468012,45207.980469,45.207980
0.006468,6.468012,45365.042969,45.365043
0.006468,6.468012,45207.980469,45.207980
