ISO 834-Time,ISO 834-Temp
0,20
1,349
2,445
3,502
4,544
5,576
6,603
7,626
8,645
9,663
10,678
11,693
12,705
13,717
14,728
15,739
16,748
17,757
18,766
19,774
20,781
21,789
22,796
23,802
24,809
25,815
26,820
27,826
28,832
29,837
30,842
31,847
32,851
33,856
34,860
35,865
36,869
37,873
38,877
39,881
40,885
41,888
42,892
43,896
44,899
45,902
46,906
47,909
48,912
49,915
50,918
51,921
52,924
53,927
54,930
55,932
56,935
57,938
58,940
59,943
60,945
61,948
62,950
63,953
64,955
65,957
66,960
67,962
68,964
69,966
70,968
71,971
72,973
73,975
74,977
75,979
76,981
77,983
78,985
79,986
80,988
81,990
82,992
83,994
84,996
85,997
86,999
87,1001
88,1003
89,1004
90,1006
91,1008
92,1009
93,1011
94,1012
95,1014
96,1016
97,1017
98,1019
99,1020
100,1022
101,1023
102,1025
103,1026
104,1028
105,1029
106,1030
107,1032
108,1033
109,1035
110,1036
111,1037
112,1039
113,1040
114,1041
115,1043
116,1044
117,1045
118,1047
119,1048
120,1049
121,1050
122,1052
123,1053
124,1054
125,1055
126,1056
127,1058
128,1059
129,1060
130,1061
131,1062
132,1063
133,1064
134,1066
135,1067
136,1068
137,1069
138,1070
139,1071
140,1072
141,1073
142,1074
143,1075
144,1076
145,1077
146,1078
147,1079
148,1080
149,1081
150,1082
151,1083
152,1084
153,1085
154,1086
155,1087
156,1088
157,1089
158,1090
159,1091
160,1092
161,1093
162,1094
163,1095
164,1096
165,1097
166,1098
167,1099
168,1099
169,1100
170,1101
171,1102
172,1103
173,1104
174,1105
175,1106
176,1106
177,1107
178,1108
179,1109
180,1110
181,1111
182,1111
183,1112
184,1113
185,1114
186,1115
187,1115
188,1116
189,1117
190,1118
191,1119
192,1119
193,1120
194,1121
195,1122
196,1122
197,1123
198,1124
199,1125
200,1126
201,1126
202,1127
203,1128
204,1128
205,1129
206,1130
207,1131
208,1131
209,1132
210,1133
211,1134
212,1134
213,1135
214,1136
215,1136
216,1137
217,1138
218,1138
219,1139
220,1140
221,1140
222,1141
223,1142
224,1142
225,1143
226,1144
227,1144
228,1145
229,1146
230,1146
231,1147
232,1148
233,1148
234,1149
235,1150
236,1150
237,1151
238,1152
239,1152
240,1153
